Email address,Phone Number,Home Address,Person's Name,Year born,Number of kids,rent/own,Annual Income,Speeding Tickets,
lovenicole@example.com,(976) 131-1172,865 Martin Park Apt. 517 Katherineton  WI 64615,Thomas Bauer,1970,1,RENT,$1669440,3
amandafranklin@example.net,(938) 138-8205,9095 Christopher Rapids Lake Kimberlyfort  NE 16586,Andrea Gaines,1960,4,RENT,$779131,8
gwendolynyoung@example.org,(886) 177-6978,273 Newman Track Suite 820 South Ronaldburgh  CO 07326,Bruce Ruiz,1953,4,OWN,$2244872,0
samantha21@example.net,(828) 145-5983,9348 Reed Camp Apt. 877 Mariastad  AZ 85295,Amanda White,1954,0,OWN,$3038251,2
karenwilliams@example.net,(868) 182-2377,999 Torres Vista Apt. 656 Millerchester  ND 31940,Amanda Perez,1968,0,RENT,$2200112,4
tkirby@example.com,(904) 183-1508,342 Anna Lodge Suite 930 New Kirktown  MO 00668,Patricia Shannon,1983,0,OWN,$1065202,2
weaveranita@example.org,(865) 114-4638,51517 Carl Fords West Hunterbury  NE 95513,Justin Lee,1977,2,RENT,$771023,3
gamblerichard@example.org,(962) 112-8122,5316 Madison Radial Cooperton  KS 78173,Sonya Hall,1979,0,OWN,$919228,3
rogercabrera@example.net,(862) 140-7256,902 Wilson Extension Apt. 872 New Alexis  AK 56002,Brandon Johnson,1986,1,RENT,$991306,3
ewhite@example.com,(957) 164-2326,2008 Travis Square Suite 978 South Jessicaton  OR 02921,Allison Tucker,1977,2,RENT,$1091208,9
